Customer_Age,Gender,Dependent_count,Income_Category,Card_Category,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Credit_Limit,Avg_Utilization_Ratio
52,F,3,Less than $40K,Blue,1073.0,1878,30,2622.0,0.591
54,F,1,Less than $40K,Blue,630.3,705,19,1438.3,0.562
66,F,0,Less than $40K,Blue,992.0,1946,38,3171.0,0.687
49,M,2,$120K +,Blue,17246.0,1414,35,19763.0,0.127
56,M,2,$120K +,Blue,15769.0,602,15,15769.0,0.0
49,F,4,Less than $40K,Blue,1098.0,1052,32,3298.0,0.667
49,F,3,Less than $40K,Blue,439.0,1295,40,2802.0,0.843
56,M,2,$40K - $60K,Blue,2578.0,1424,29,4458.0,0.422
44,F,5,Unknown,Blue,5295.0,1359,25,6273.0,0.156
42,M,2,$60K - $80K,Blue,1583.0,1168,27,3336.0,0.525
55,M,3,$80K - $120K,Blue,1420.0,1097,33,3436.0,0.587
48,M,2,$60K - $80K,Silver,34516.0,691,15,34516.0,0.0
39,M,1,$60K - $80K,Blue,4675.0,1316,28,5926.0,0.211
44,M,4,$120K +,Blue,21855.0,1276,26,23957.0,0.088
53,M,2,$120K +,Blue,13100.0,1289,23,14734.0,0.111
51,M,4,$80K - $120K,Silver,33001.0,1293,32,34516.0,0.044
57,M,2,$60K - $80K,Blue,4767.0,1353,35,6584.0,0.276
44,F,2,Less than $40K,Blue,616.0,1132,28,2084.0,0.704
49,M,2,$60K - $80K,Blue,580.0,1670,17,1687.0,0.656
50,M,2,$80K - $120K,Blue,23970.0,837,15,25300.0,0.053
51,M,4,$120K +,Blue,32753.0,1550,41,34516.0,0.051
55,F,2,Less than $40K,Blue,1182.0,1540,36,2216.0,0.467
54,M,1,$60K - $80K,Blue,880.0,1256,21,2910.0,0.698
42,M,5,$80K - $120K,Blue,21385.0,1394,35,22913.0,0.067
44,M,1,$60K - $80K,Blue,22380.0,1341,24,24312.0,0.079
53,M,2,$80K - $120K,Blue,3757.0,1289,33,5272.0,0.287
44,F,4,Less than $40K,Blue,4483.0,1112,23,7000.0,0.36
37,F,3,Less than $40K,Blue,5237.0,2339,57,7038.0,0.256
49,M,3,$60K - $80K,Blue,713.0,1468,23,2536.0,0.719
47,M,2,$80K - $120K,Blue,27005.0,1334,35,28904.0,0.066
47,M,3,$60K - $80K,Blue,6872.0,1457,41,8567.0,0.198
44,M,1,$120K +,Blue,32983.0,1603,29,34516.0,0.044
55,F,4,$40K - $60K,Blue,2158.0,615,12,2158.0,0.0
59,F,1,Unknown,Blue,8716.0,1068,20,10133.0,0.14
53,M,1,$80K - $120K,Blue,33297.0,1590,27,34516.0,0.035
52,M,2,$60K - $80K,Blue,1175.0,1531,35,3085.0,0.619
53,M,2,$120K +,Blue,16984.0,1212,31,19040.0,0.108
43,F,3,Less than $40K,Blue,4026.0,1237,32,4026.0,0.0
44,M,3,$60K - $80K,Blue,11919.0,1413,14,12756.0,0.066
57,M,2,$120K +,Blue,5266.0,1516,29,5266.0,0.0
51,F,2,Less than $40K,Blue,9930.0,1276,21,9930.0,0.0
49,M,4,$80K - $120K,Blue,29349.0,1564,35,31302.0,0.062
45,M,1,$40K - $60K,Blue,6576.0,1465,34,6576.0,0.0
53,M,0,$80K - $120K,Blue,627.0,1286,29,2664.0,0.765
45,F,3,Unknown,Blue,95.0,1312,20,2535.0,0.963
64,M,1,Less than $40K,Blue,814.0,1673,32,1709.0,0.524
45,M,3,$40K - $60K,Blue,2254.0,1313,30,3454.0,0.347
53,M,3,$40K - $60K,Blue,2083.0,1609,42,3789.0,0.45
56,M,3,$120K +,Blue,7439.0,1158,19,9689.0,0.232
47,M,2,$80K - $120K,Blue,3821.0,836,18,5449.0,0.299
49,F,3,Unknown,Blue,21072.0,1289,22,23032.0,0.085
41,F,3,Unknown,Silver,32463.0,1487,26,34516.0,0.059
53,M,3,$120K +,Blue,1676.0,1259,33,2940.0,0.43
44,F,2,Less than $40K,Blue,1152.0,1298,15,3031.0,0.62
44,M,3,$60K - $80K,Blue,1862.0,1226,34,1862.0,0.0
43,F,4,Less than $40K,Blue,7432.0,1566,37,8358.0,0.111
53,M,2,$120K +,Blue,33585.0,1022,21,34516.0,0.027
44,M,1,$60K - $80K,Blue,12010.0,1235,30,14450.0,0.169
62,F,1,Less than $40K,Blue,1438.3,1951,44,1438.3,0.0
54,M,4,$120K +,Blue,31831.0,1047,31,33791.0,0.058
57,M,4,$60K - $80K,Blue,6580.0,1342,32,8466.0,0.223
42,M,3,$60K - $80K,Blue,14223.0,1107,21,15088.0,0.057
42,M,4,$60K - $80K,Blue,1589.0,1251,35,3263.0,0.513
54,F,0,Less than $40K,Blue,788.0,1305,24,1494.0,0.473
48,M,3,$80K - $120K,Blue,12257.0,1388,37,13551.0,0.095
49,M,1,$80K - $120K,Blue,17991.0,1235,18,18886.0,0.047
52,M,3,$80K - $120K,Blue,10703.0,2089,36,11976.0,0.106
50,M,3,$80K - $120K,Blue,8405.0,1626,25,9964.0,0.156
49,M,1,$60K - $80K,Blue,22963.0,1111,24,24159.0,0.05
53,F,2,Less than $40K,Blue,3461.0,1553,38,5362.0,0.355
50,M,2,$120K +,Blue,33493.0,1064,13,34516.0,0.03
55,F,1,Less than $40K,Blue,1223.0,1243,29,3174.0,0.615
53,M,1,$80K - $120K,Blue,10426.0,1659,38,12262.0,0.15
47,F,3,$40K - $60K,Blue,2248.0,1594,47,3788.0,0.407
55,M,2,$120K +,Silver,32989.0,1268,42,34516.0,0.044
47,M,3,$60K - $80K,Blue,2926.0,1304,24,2926.0,0.0
58,M,4,$120K +,Blue,32090.0,1368,30,32090.0,0.0
53,M,2,$80K - $120K,Blue,9442.0,720,23,11669.0,0.191
52,M,2,$40K - $60K,Blue,12232.0,1521,29,13532.0,0.096
50,F,1,Less than $40K,Silver,9798.0,1137,30,11888.0,0.176
42,F,1,Less than $40K,Blue,408.0,978,16,2393.0,0.83
43,M,4,$40K - $60K,Blue,3594.0,1221,16,6111.0,0.412
57,M,4,$80K - $120K,Blue,17608.0,1565,28,19270.0,0.086
52,M,1,$80K - $120K,Blue,1193.0,1578,34,3710.0,0.678
47,M,2,Less than $40K,Blue,2438.0,1493,32,3235.0,0.246
44,F,3,$40K - $60K,Blue,10961.0,1178,27,11749.0,0.067
53,M,2,$60K - $80K,Blue,5653.0,991,26,7753.0,0.271
45,M,4,$60K - $80K,Blue,9222.0,2560,42,10408.0,0.114
63,F,1,Unknown,Blue,2399.0,1657,29,3967.0,0.395
39,F,2,Less than $40K,Blue,3688.0,1204,19,6205.0,0.406
48,F,5,Less than $40K,Blue,8025.0,673,18,8025.0,0.0
51,M,1,$120K +,Blue,6709.0,1131,18,9036.0,0.258
54,M,4,$80K - $120K,Blue,12409.0,1576,25,14926.0,0.169
59,F,1,Less than $40K,Blue,5207.0,1217,20,6335.0,0.178
59,M,1,$60K - $80K,Blue,14979.0,530,10,14979.0,0.0
48,F,4,Less than $40K,Blue,2732.0,739,16,2732.0,0.0
41,F,2,Less than $40K,Blue,133.0,1617,31,2250.0,0.941
55,M,2,$120K +,Blue,9380.0,1592,34,10916.0,0.141
47,F,4,Unknown,Blue,4121.0,1343,30,5349.0,0.23
41,M,2,$80K - $120K,Blue,8262.0,1303,39,9366.0,0.118
40,M,3,$80K - $120K,Blue,21617.0,1351,22,21617.0,0.0
68,M,1,Unknown,Blue,12208.0,1910,32,13860.0,0.119
50,F,1,$40K - $60K,Silver,18386.0,1298,22,18386.0,0.0
47,M,4,$60K - $80K,Blue,865.0,1087,29,2405.0,0.64
53,F,1,Less than $40K,Blue,1224.0,1439,26,2154.0,0.432
42,F,5,$40K - $60K,Blue,2038.0,1238,28,2038.0,0.0
48,F,4,$40K - $60K,Blue,8135.0,1716,29,8135.0,0.0
49,M,1,$120K +,Blue,8746.0,1099,27,9364.0,0.066
44,F,2,Unknown,Silver,32643.0,1058,24,32643.0,0.0
43,F,4,Less than $40K,Blue,1241.0,1285,29,3195.0,0.612
56,M,0,$80K - $120K,Blue,1828.0,1651,28,2852.0,0.359
59,F,1,Unknown,Blue,2919.0,1152,31,4224.0,0.309
46,M,1,$60K - $80K,Blue,18388.0,1767,38,20459.0,0.101
47,F,4,Less than $40K,Blue,1368.0,1039,24,3482.0,0.607
50,F,4,$40K - $60K,Blue,1495.0,1130,28,3065.0,0.512
51,F,3,Less than $40K,Blue,424.0,1645,30,2185.0,0.806
47,F,3,Less than $40K,Blue,865.0,1413,29,1611.0,0.463
58,F,4,Less than $40K,Blue,649.0,1218,23,2822.0,0.77
46,M,5,$80K - $120K,Blue,30458.0,597,17,32975.0,0.076
53,M,3,$60K - $80K,Blue,1438.3,2184,53,1438.3,0.0
45,F,4,Unknown,Blue,14156.0,1592,37,15875.0,0.108
52,F,1,Less than $40K,Blue,5810.0,1388,28,6703.0,0.133
53,M,2,$80K - $120K,Blue,3212.0,757,20,3212.0,0.0
50,M,2,$80K - $120K,Silver,33256.0,1504,34,34516.0,0.037
41,F,3,$40K - $60K,Blue,8363.0,1503,34,9797.0,0.146
45,F,5,$40K - $60K,Blue,8623.0,1105,28,10400.0,0.171
53,M,3,$80K - $120K,Blue,24956.0,2398,47,26792.0,0.069
67,F,1,Less than $40K,Blue,489.0,1661,32,3006.0,0.837
57,F,2,$40K - $60K,Silver,18410.0,1421,22,19482.0,0.055
59,F,1,$40K - $60K,Blue,2371.0,999,28,3356.0,0.294
45,M,2,$40K - $60K,Blue,3523.0,1387,18,5771.0,0.39
51,M,3,$80K - $120K,Blue,8999.0,1243,24,11106.0,0.19
59,F,1,Less than $40K,Blue,889.0,1860,36,2890.0,0.692
53,M,1,$60K - $80K,Blue,1679.0,1502,25,3380.0,0.503
47,M,3,$60K - $80K,Blue,20080.0,1460,50,21331.0,0.059
49,F,3,Unknown,Blue,12860.0,1348,27,12860.0,0.0
49,M,3,$80K - $120K,Blue,5816.0,1087,33,6278.0,0.074
60,F,0,Less than $40K,Blue,700.3,1226,33,1438.3,0.513
50,F,2,Less than $40K,Blue,7729.0,1230,28,9355.0,0.174
41,F,2,Unknown,Blue,20758.0,1555,32,20758.0,0.0
57,M,1,$80K - $120K,Blue,12636.0,1827,24,14612.0,0.135
43,M,4,$80K - $120K,Blue,27259.0,1376,35,27259.0,0.0
57,F,3,Less than $40K,Blue,4753.0,1771,37,6347.0,0.251
54,M,3,$120K +,Blue,19916.0,1873,52,21592.0,0.078
51,F,5,Less than $40K,Blue,1851.0,1679,42,3449.0,0.463
47,F,3,Less than $40K,Blue,5229.0,1002,22,6028.0,0.133
41,M,0,$120K +,Blue,16216.0,1344,21,18214.0,0.11
53,M,3,$80K - $120K,Blue,14970.0,1461,42,16393.0,0.087
68,M,0,Less than $40K,Blue,538.3,760,21,1438.3,0.626
59,M,1,$60K - $80K,Blue,6184.0,1428,22,7871.0,0.214
48,M,4,$80K - $120K,Blue,4422.0,1777,42,5288.0,0.164
44,M,5,$60K - $80K,Blue,9370.0,1302,27,11376.0,0.176
48,M,3,$80K - $120K,Blue,10670.0,1483,41,12302.0,0.133
47,M,4,$60K - $80K,Silver,32837.0,1060,27,34516.0,0.049
47,M,2,$60K - $80K,Silver,33048.0,1330,32,34516.0,0.043
43,F,1,Less than $40K,Silver,8934.0,1229,27,10514.0,0.15
55,F,2,Less than $40K,Blue,1438.3,886,27,1438.3,0.0
59,M,2,$60K - $80K,Blue,1438.3,844,24,1438.3,0.0
63,M,1,$40K - $60K,Blue,840.0,1450,37,2619.0,0.679
58,M,2,$120K +,Blue,22012.0,2311,48,24407.0,0.098
53,F,2,Less than $40K,Blue,728.0,1378,26,2377.0,0.694
59,M,0,$80K - $120K,Silver,33157.0,1033,26,34516.0,0.039
52,M,3,$120K +,Blue,8879.0,1523,40,11086.0,0.199
48,M,3,$60K - $80K,Blue,8915.0,1374,37,11432.0,0.22
43,M,4,$40K - $60K,Blue,11537.0,1080,21,13258.0,0.13
48,M,2,Less than $40K,Blue,616.0,1234,24,2571.0,0.76
43,F,4,Less than $40K,Blue,4613.0,1600,32,5781.0,0.202
44,M,4,$60K - $80K,Blue,5363.0,1155,32,7872.0,0.319
41,M,3,$80K - $120K,Blue,33314.0,1353,33,34516.0,0.035
44,F,3,Less than $40K,Silver,9292.0,1546,25,11127.0,0.165
50,M,2,$40K - $60K,Blue,254.0,1590,43,1857.0,0.863
60,F,1,Less than $40K,Blue,641.0,1448,22,1913.0,0.665
44,M,4,$80K - $120K,Blue,1544.0,1271,24,3839.0,0.598
48,F,3,$40K - $60K,Blue,974.0,1223,20,2115.0,0.539
44,F,2,Less than $40K,Blue,759.3,1117,29,1438.3,0.472
41,M,2,$80K - $120K,Blue,25967.0,994,24,27756.0,0.064
45,M,3,$60K - $80K,Blue,1438.3,1468,26,1438.3,0.0
47,F,2,Less than $40K,Silver,11656.0,1658,38,13878.0,0.16
51,F,2,Less than $40K,Blue,1802.0,1368,38,3106.0,0.42
51,M,2,$120K +,Blue,32850.0,1218,18,34516.0,0.048
60,F,1,$40K - $60K,Blue,413.3,702,12,1438.3,0.713
57,M,2,$80K - $120K,Blue,17131.0,1516,21,18871.0,0.092
41,M,5,$120K +,Blue,3459.0,1310,26,5207.0,0.336
44,M,3,$80K - $120K,Blue,16321.0,1767,50,17965.0,0.092
43,M,1,$60K - $80K,Blue,914.0,933,25,2733.0,0.666
55,M,2,$60K - $80K,Blue,7562.0,1512,27,8863.0,0.147
52,M,1,$80K - $120K,Blue,24.0,829,17,1857.0,0.987
44,M,3,$80K - $120K,Blue,34516.0,1120,27,34516.0,0.0
41,M,2,$40K - $60K,Blue,9885.0,1506,33,11107.0,0.11
44,M,4,$80K - $120K,Blue,19988.0,1384,36,21573.0,0.073
53,F,2,Less than $40K,Blue,342.0,817,30,2859.0,0.88
39,M,2,$80K - $120K,Blue,3794.0,2094,25,5269.0,0.28
49,M,5,$40K - $60K,Blue,1438.3,815,21,1438.3,0.0
45,F,2,Less than $40K,Blue,3387.0,510,24,3387.0,0.0
54,M,2,$80K - $120K,Blue,693.0,1377,49,1982.0,0.65
49,M,3,$80K - $120K,Blue,2995.0,1193,33,4645.0,0.355
46,F,3,Unknown,Blue,523.0,1287,36,2189.0,0.761
46,M,4,$120K +,Blue,2442.0,701,19,2442.0,0.0
47,M,3,$60K - $80K,Blue,19772.0,1770,25,21304.0,0.072
44,M,2,$60K - $80K,Blue,5097.0,1409,35,7577.0,0.327
50,M,3,$120K +,Blue,1748.0,1354,28,3234.0,0.459
73,M,0,$40K - $60K,Blue,3344.0,1765,34,4469.0,0.252
56,M,3,$40K - $60K,Blue,2201.0,1192,27,2910.0,0.244
59,M,0,$40K - $60K,Blue,2562.0,687,17,3616.0,0.291
70,M,0,Less than $40K,Blue,1757.0,1227,15,3252.0,0.46
55,F,2,Less than $40K,Blue,1206.0,1737,26,2358.0,0.489
43,M,4,$60K - $80K,Blue,21369.0,1348,34,22322.0,0.043
45,M,1,$120K +,Blue,1623.0,1435,38,3133.0,0.482
45,F,2,$40K - $60K,Blue,2691.0,1321,28,3540.0,0.24
40,M,1,$40K - $60K,Blue,5612.0,1479,29,6990.0,0.197
36,M,2,$80K - $120K,Blue,32864.0,1283,39,34516.0,0.048
59,F,0,$40K - $60K,Blue,1438.3,689,23,1438.3,0.0
43,M,4,$60K - $80K,Blue,23225.0,965,17,24396.0,0.048
46,F,1,Less than $40K,Blue,331.0,1541,40,2474.0,0.866
41,M,2,$40K - $60K,Blue,4419.0,1258,23,5214.0,0.152
51,F,2,Less than $40K,Blue,3557.0,1339,20,5207.0,0.317
51,F,3,Less than $40K,Blue,8430.0,1007,22,9512.0,0.114
43,F,4,Unknown,Blue,757.0,1387,33,3187.0,0.762
64,F,0,$40K - $60K,Blue,3353.0,960,18,3353.0,0.0
54,M,5,$60K - $80K,Blue,856.0,1119,18,2290.0,0.626
48,M,3,$40K - $60K,Blue,4164.0,1642,41,5279.0,0.211
40,M,2,$60K - $80K,Blue,23603.0,1382,31,23603.0,0.0
57,M,0,$40K - $60K,Blue,2601.0,1232,32,2601.0,0.0
45,M,4,$80K - $120K,Blue,5334.0,1542,16,6363.0,0.162
41,M,3,$80K - $120K,Blue,6453.0,1094,32,8029.0,0.196
42,F,4,Less than $40K,Blue,641.0,1217,30,2410.0,0.734
45,M,2,$60K - $80K,Blue,3401.0,744,18,3401.0,0.0
42,F,4,Less than $40K,Blue,1253.0,1614,33,2260.0,0.446
47,M,4,$80K - $120K,Blue,15201.0,1747,31,17682.0,0.14
48,F,4,$40K - $60K,Blue,3106.0,1144,22,4206.0,0.262
43,M,1,$80K - $120K,Silver,33076.0,1575,34,34516.0,0.042
41,M,4,$80K - $120K,Blue,20850.0,1463,24,23018.0,0.094
54,F,1,$40K - $60K,Blue,3845.0,1706,21,5556.0,0.308
54,F,2,Unknown,Blue,6094.0,909,14,6094.0,0.0
61,M,0,$40K - $60K,Blue,940.0,2434,33,2939.0,0.68
61,M,0,$80K - $120K,Blue,4088.0,1876,41,5362.0,0.238
48,M,2,$120K +,Blue,27126.0,1000,25,27126.0,0.0
45,F,4,Less than $40K,Blue,825.0,1139,30,3342.0,0.753
54,F,4,Unknown,Blue,311.0,799,21,2532.0,0.877
54,F,3,Unknown,Blue,524.0,1881,45,1900.0,0.724
44,M,3,$60K - $80K,Blue,12843.0,1273,27,14546.0,0.117
50,F,4,Unknown,Blue,913.0,1328,33,2521.0,0.638
55,M,2,$60K - $80K,Blue,14745.0,1579,36,16427.0,0.102
48,M,2,$40K - $60K,Blue,11350.0,937,28,13068.0,0.131
45,M,2,$60K - $80K,Blue,21404.0,1749,37,23218.0,0.078
60,M,0,$40K - $60K,Blue,2444.0,1424,29,3281.0,0.255
55,M,2,$40K - $60K,Blue,879.0,2011,41,3096.0,0.716
62,F,0,$40K - $60K,Blue,802.0,1208,31,2052.0,0.609
38,F,1,Less than $40K,Blue,855.3,1259,24,1438.3,0.405
46,M,3,$40K - $60K,Blue,8014.0,1319,26,9432.0,0.15
50,M,0,$120K +,Silver,12635.0,949,27,14938.0,0.154
45,M,2,$60K - $80K,Blue,878.0,1338,30,2221.0,0.605
47,M,3,$60K - $80K,Blue,4154.0,1554,26,5731.0,0.275
48,M,4,$60K - $80K,Gold,32455.0,1350,32,34516.0,0.06
35,M,3,$60K - $80K,Blue,5855.0,1694,44,6985.0,0.162
51,M,2,$120K +,Blue,22514.0,1678,40,24221.0,0.07
36,F,3,Unknown,Blue,15439.0,2069,43,15439.0,0.0
47,M,4,$80K - $120K,Blue,19607.0,1222,23,21637.0,0.094
52,M,2,$120K +,Blue,14543.0,1536,37,14543.0,0.0
43,F,4,Less than $40K,Blue,7209.0,1400,31,9684.0,0.256
63,M,2,$40K - $60K,Blue,4077.0,1050,28,5007.0,0.186
61,M,0,$60K - $80K,Blue,569.0,1389,33,1616.0,0.648
53,M,2,$60K - $80K,Blue,19116.0,1184,29,19116.0,0.0
53,F,3,Less than $40K,Blue,536.0,2093,42,2759.0,0.806
57,M,3,$120K +,Blue,6868.0,678,11,8249.0,0.167
38,F,2,Unknown,Blue,11887.0,1467,29,14041.0,0.153
53,M,3,$60K - $80K,Blue,3095.0,1219,27,5264.0,0.412
63,F,0,Less than $40K,Blue,508.0,1730,36,2420.0,0.79
49,F,4,Less than $40K,Blue,756.0,1025,28,2826.0,0.732
45,M,2,$80K - $120K,Blue,10979.0,1165,33,12518.0,0.123
67,M,0,$40K - $60K,Blue,4579.0,2133,55,5876.0,0.221
48,M,3,$80K - $120K,Silver,34516.0,1122,13,34516.0,0.0
51,F,2,Less than $40K,Blue,7722.0,1083,22,9648.0,0.2
52,M,2,$80K - $120K,Silver,32339.0,1234,23,34516.0,0.063
55,F,2,Unknown,Blue,649.0,1277,23,3025.0,0.785
34,M,3,$60K - $80K,Blue,748.0,1843,35,3265.0,0.771
56,M,1,$120K +,Blue,4686.0,1747,49,6041.0,0.224
44,F,2,Less than $40K,Blue,470.0,1166,22,2293.0,0.795
47,M,3,$80K - $120K,Blue,10894.0,1326,31,13399.0,0.187
46,F,3,Less than $40K,Blue,1800.0,1619,36,4317.0,0.583
43,F,3,$40K - $60K,Blue,2309.0,1285,16,3378.0,0.316
50,F,1,Less than $40K,Blue,2770.0,1142,28,5012.0,0.447
38,F,4,Less than $40K,Blue,964.0,1190,46,2569.0,0.625
53,F,1,Less than $40K,Blue,1686.0,1052,24,3471.0,0.514
43,M,5,$120K +,Silver,32817.0,1628,38,34516.0,0.049
53,M,1,$120K +,Blue,1468.0,1740,32,3312.0,0.557
56,F,1,Less than $40K,Blue,116.0,1378,29,2578.0,0.955
54,M,2,$40K - $60K,Blue,385.0,996,26,2902.0,0.867
57,F,3,Less than $40K,Blue,421.0,1389,32,2742.0,0.846
62,M,1,Less than $40K,Blue,506.0,1365,38,2077.0,0.756
46,F,4,Less than $40K,Blue,4323.0,1715,43,6265.0,0.31
49,M,2,$60K - $80K,Blue,6259.0,1582,25,7819.0,0.2
52,M,3,$80K - $120K,Blue,1039.0,1220,22,2731.0,0.62
58,M,1,$40K - $60K,Blue,901.3,715,13,1438.3,0.373
54,M,0,$80K - $120K,Blue,14576.0,2552,49,16286.0,0.105
49,M,1,$120K +,Blue,34516.0,1106,31,34516.0,0.0
58,F,3,Less than $40K,Blue,170.0,1731,34,2609.0,0.935
52,M,2,$60K - $80K,Blue,6394.0,1435,32,7567.0,0.155
41,M,5,$60K - $80K,Blue,20253.0,1882,38,22770.0,0.111
62,F,0,Less than $40K,Blue,2143.0,2058,34,3791.0,0.435
54,M,2,Less than $40K,Blue,185.0,1658,32,2702.0,0.932
40,F,3,Less than $40K,Blue,438.0,1334,32,2555.0,0.829
43,M,3,$80K - $120K,Blue,1265.0,1441,29,2355.0,0.463
53,F,2,$40K - $60K,Blue,5332.0,1371,39,5332.0,0.0
55,M,1,$40K - $60K,Blue,68.0,1991,38,1443.0,0.953
46,M,4,$60K - $80K,Blue,9986.0,1278,22,10741.0,0.07
41,M,1,$60K - $80K,Blue,6481.0,1734,39,7984.0,0.188
49,M,3,$60K - $80K,Blue,16067.0,1330,34,18584.0,0.135
61,F,0,Unknown,Blue,4120.0,1787,31,5585.0,0.262
46,M,2,$80K - $120K,Blue,32351.0,1672,32,34516.0,0.063
50,F,1,Less than $40K,Blue,1438.3,1439,41,1438.3,0.0
40,M,2,$80K - $120K,Blue,447.0,1558,31,2478.0,0.82
51,M,4,$120K +,Blue,32242.0,1795,47,34516.0,0.066
50,F,2,$40K - $60K,Blue,899.0,893,22,2339.0,0.616
47,F,2,Less than $40K,Blue,2726.0,1099,27,2726.0,0.0
43,M,4,$120K +,Blue,14033.0,1408,23,14881.0,0.057
36,F,4,$40K - $60K,Blue,659.0,1893,15,1628.0,0.595
47,F,2,Less than $40K,Blue,1512.0,1151,31,3156.0,0.521
46,F,2,Less than $40K,Blue,3475.0,1519,31,4745.0,0.268
46,M,2,$120K +,Blue,17942.0,1245,25,19727.0,0.09
52,M,0,$60K - $80K,Blue,21927.0,1102,27,22720.0,0.035
43,M,4,$40K - $60K,Blue,6330.0,1402,33,8129.0,0.221
40,F,4,Less than $40K,Blue,2230.0,1060,30,3751.0,0.405
54,F,4,Less than $40K,Blue,183.0,1459,35,1594.0,0.885
55,F,1,Less than $40K,Blue,1166.0,1456,39,2569.0,0.546
49,F,4,Unknown,Blue,16620.0,1439,48,18206.0,0.087
45,M,4,$40K - $60K,Blue,1338.0,1353,24,3104.0,0.569
49,M,3,$40K - $60K,Blue,846.0,1173,32,2406.0,0.648
63,M,1,$80K - $120K,Blue,22616.0,1746,28,24571.0,0.08
40,F,3,Less than $40K,Gold,14808.0,1279,28,15534.0,0.047
41,F,2,Less than $40K,Silver,10051.0,1307,29,12301.0,0.183
37,M,4,$80K - $120K,Blue,1028.0,1473,37,2846.0,0.639
58,M,2,$120K +,Blue,7994.0,1805,37,9788.0,0.183
55,M,2,$60K - $80K,Blue,4850.0,1421,23,7231.0,0.329
53,F,1,Less than $40K,Blue,748.0,1272,37,2324.0,0.678
